title	abstract	authors	year	url	identifiers	publisher	keywords	oai	doi	journal_title	journal_identifiers	relevance
Usability issues with security of electronic mail	This thesis was submitted for the degree of Doctor of Philosophy and awarded by Brunel University.This thesis shows that human factors can have a large and direct impact on security, not only on the user’s satisfaction, but also on the level of security achieved in practice. The usability issues identified are also extended to include mental models and perceptions as well as traditional user interface issues. These findings were accomplished through three studies using various methodologies to best suit their aims.\udThe research community have issued principles to better align security and usability, so it was first necessary to evaluate their effectiveness. The chosen method for achieving this was through a usability study of the most recent software specifically to use these principles. It was found that the goal of being simultaneously usable and secure was not entirely met, partially through problems identified with the software interface, but largely due to the user’s perceptions and actions whilst using the software. This makes it particularly difficult to design usable and secure software without detailed knowledge of the users attitudes and perceptions, especially if we are not to blame the user for security errors as has occurred in the past.\udParticular focus was given to e-mail security because it is an area in which there is a massive number of vectors for security threats, and in which it is technologically possible to negate most of these threats, yet this is not occurring. Interviews were used to gain in depth information from the user’s point of view. Data was collected from individual e-mail users from the general public, and organisations. It was found that although the literature had identified various problems with the software and process of e-mail encryption, the majority of problems identified in the interviews stemmed once again from user’s perceptions and attitudes. Use of encryption was virtually nil, although the desire to use encryption to protect privacy was strong.\udRemembering secure passwords was recurrently found to be problematic, so in an effort to propose a specific method of increasing their usability an empirical experiment was used to examine the memorability of passwords. Specially constructed passwords were tested for their ability to improve memorability, and therefore usability. No statistical significance in the construction patterns was found, but a memory phenomenon whereby users tend to forget their password after a specific period of non-use was discovered.\udThe findings are discussed with reference to the fact that they all draw on a theme of responsibility to maintain good security, both from the perspective of the software developer and the end user. The term Personal Liability and General Use Evaluation (PLaGUE) is introduced to highlight the importance of considering these responsibilities and their effect on the use of security	DeWitt, Alexander John Anthony George	2007	https://core.ac.uk/download/pdf/333770.pdf	oai:bura.brunel.ac.uk:2438/1059 oai:oai:bura.brunel.ac.uk:2438/1059	DISC	Usability, Security, HCI, HCI-sec, Encryption, PKI, Password					70%
Database Security Protection based on a New Mechanism	The database security is one of the important issues that should take a complete attention from researchers. Although applying the traditional security mechanisms, the database still violate from both of external and internal users. So, the researchers develop a Database Intrusion Detection System (DBIDS) to detect intrusion as soon as it occurs and override its malicious affects. The previous work developed a DBIDS as a third party product which is isolated from the DBMS security functions especially access controls. The lack of coordination and inter-operation between these two components prevent detecting and responding to ongoing attacks in real time, and, it causes high false alarm rate. On the other hand, one of the directions that are followed to build a profile is the data dependency model. Although this model is sufficient and related to the natural of database, it suffers from high false alarm rate. This means that it needs an enhancement to get its benefits and eliminate its drawbacks. This Paper aims to strengthen the database security via applying a DBID. To achieve this goal it develops an efficient IDS for DB and integrates it with DBMS for cooperation and completeness between the different parts in the security system. The experiments declare that the proposed model is an efficient DBIDS with a minimum false positive rate (nearly zero %) and maximum true positive rate (nearly 100%). Moreover, it is based on a novel method to build an accurate normal user profile and integrate it with access control	Amira Rezk and H. A. Ali and S. I. Barakat	2013	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.258.9527	oai:CiteSeerX.psu:10.1.1.258.9527 oai:oai:CiteSeerX.psu:10.1.1.258.9527		Intrusion detection. Data dependency. Access Control					70%
Plug-and-Play IP Security: Anonymity Infrastructure Instead of PKI	Abstract. We present the Plug-and-Play IP Security (PnP-IPsec) protocol. PnP-IPsec automatically establishes IPsec security associations between gateways, avoiding the need for manual administration and coordination between gateways, and the dependency on IPsec public key certificates- the two problems which are widely believed to have limited the use of IPsec mostly to intra-organization communication. PnP-IPsec builds on Self-validated Public Data Distribution (SvPDD), a protocol that we present to establish secure connections between remote peers/networks, without depending on pre-distributed keys or certification infrastructure. Instead, SvPDD uses available anonymous communication infrastructures such as Tor, which we show to allow detection of MitM attacker interfering with communication. SvPDD may also be used in other scenarios lacking secure public key distribution, such as the initial connection to an SSH server. We provide an open-source implementation of PnP-IPsec and SvPDD, and show that the resulting system is practical and secure. 	Yossi Gilad and Amir Herzberg	2013	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.310.7407	oai:oai:CiteSeerX.psu:10.1.1.310.7407 oai:CiteSeerX.psu:10.1.1.310.7407							70%
Security and Privacy Requirements Analysis within a Social Setting	Security issues for software systems ultimately concern relationships among social actors-stakeholders, system users, potential attackers- and the software acting on their behalf. This paper proposes a methodological framework for dealing with security and privacy requirements based on i*, an agent-oriented requirements modeling language. The framework supports a set of analysis techniques. In particular, attacker analysis helps identify potential system abusers and their malicious intents. Dependency vulnerability analysis helps detect vulnerabilities in terms of organizational relationships among stakeholders. Countermeasure analysis supports the dynamic decisionmaking process of defensive system players in addressing vulnerabilities and threats. Finally, access control analysis bridges the gap between security requirement models and security implementation models. The framework is illustrated with an example involving security and privacy concerns in the design of agentbased health information systems. In addition, we discuss model evaluation techniques, including qualitative goal model analysis and property verification techniques based on model checking. 1	Lin Liu and Eric Yu and John Mylopoulos	2003	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.79.7282	oai:CiteSeerX.psu:10.1.1.79.7282 oai:oai:CiteSeerX.psu:10.1.1.79.7282	IEEE Press						70%
Security and Privacy Requirements Analysis within a Social Setting	Security issues for software systems ultimately concern relationships among social actors-stakeholders, system users, potential attackers- and the software acting on their behalf. This paper proposes a methodological framework for dealing with security and privacy requirements based on i*, an agent-oriented requirements modeling language. The framework supports a set of analysis techniques. In particular, attacker analysis helps identify potential system abusers and their malicious intents. Dependency vulnerability analysis helps detect vulnerabilities in terms of organizational relationships among stakeholders. Countermeasure analysis supports the dynamic decisionmaking process of defensive system players in addressing vulnerabilities and threats. Finally, access control analysis bridges the gap between security requirement models and security implementation models. The framework is illustrated with an example involving security and privacy concerns in the design of agentbased health information systems. In addition, we discuss model evaluation techniques, including qualitative goal model analysis and property verification techniques based on model checking. 1	Lin Liu and Eric Yu and John Mylopoulos	2003	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.85.6939	oai:oai:CiteSeerX.psu:10.1.1.85.6939 oai:CiteSeerX.psu:10.1.1.85.6939	IEEE Press						70%
Development of ASEAN Food Security Information System of Malaysia (AFSIS-MY) software requirements, testing and user training	ASEAN Food Security Information System of Malaysia (AFSIS-MY) Project is implemented to support for data collection process which involves four category of user which are District, State, Head Quarters, and Ministry. The main functionalities that the system should offer are Provide Data, Verify Data and Retrieve Report. In a limited time given, it is difficult to include all categories of users or their representatives which spreading over the country to participate in the requirements gathering, held during the requirements analysis phase. Only generic requirements of the main functionalities could be gathered through the discussion with the Ministry users, while another or additional requirements may come in from others but could not be discussed. However, at the end of the project, the goal to produce AFSIS-MY that satisfied all the users, is achieved. This paper discusses about how the developer strategies the Software Requirements, the Testing, and Training activities in order to produce the quality AFSIS-MY software in terms of conforming and satisfying user’s needs and usability	Junus, Mazlan	2006	https://core.ac.uk/download/pdf/19455440.pdf	oai:oai:generic.eprints.org:35080/core392 oai:generic.eprints.org:35080/core392		Unspecified					70%
AnoA: A Framework For Analyzing Anonymous Communication Protocols --  Anonymity meets differential privacy	Protecting individuals’ privacy in online communications has become a challenge of paramount importance. To this end, anonymous communication (AC) protocols such as the widely used Tor network have been designed to provide anonymity to their participating users. While AC protocols have been the subject of several security and anonymity analyses in the last years, there still does not exist a framework for analyzing complex systems such as Tor and their different anonymity properties in a unified manner. In this work we present AnoA: a generic framework for defining, analyzing, and quantifying anonymity properties for AC protocols. AnoA relies on a novel relaxation of the notion of (computational) differential privacy, and thereby enables a unified quantitative analysis of well-established anonymity properties, such as sender anonymity, sender unlinkability, and relationship anonymity. While an anonymity analysis in AnoA can be conducted in a purely information theoretical manner, we show that the protocol’s anonymity properties established in AnoA carry over to secure cryptographic instantiations of the protocol	Michael Backes and Aniket Kate and Praveen Manoharan and Sebastian Meiser and Esfandiar Mohammadi	2013	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.364.3108	oai:oai:CiteSeerX.psu:10.1.1.364.3108 oai:CiteSeerX.psu:10.1.1.364.3108							70%
Modeling and Performance Comparison of Privacy Approaches for Location  Based Services	In pervasive computing environment, Location Based Services (LBSs) aregetting popularity among users because of their usefulness in day-to-day life.LBSs are information services that use geospatial data of mobile device andsmart phone users to provide information, entertainment and security in realtime. A key concern in such pervasive computing environment is the need toreveal the user's exact location which may allow an adversary to infer privateinformation about the user. To address the privacy concerns of LBS users, alarge number of security approaches have been proposed based on the concept ofk-anonymity. The central idea in location k-anonymity is to find a set of k-1users confined in a given geographical area of the actual user, such that thelocation of these k users are indistinguishable from one another, thusprotecting the identity of the user. Although a number of performanceparameters like success rate, amount of privacy achieved are used to measurethe performance of the k-anonymity approaches, they make the implicit,unrealistic assumption that the k-1 users are readily available. As such theseapproaches ignore the turnaround time to process a user request, which iscrucial for a real-time application like LBS. In this work, we model thek-anonymity approaches using queuing theory to compute the average sojourn timeof users and queue length of the system. To demonstrate that queuing theory canbe used to model all k-anonymity approaches, we consider graph-basedk-anonymity approaches. The proposed analytical model is further validated withexperimental results.Comment: 18 pages and 11 figure	Biswas, Pratima and Sairam, Ashok Singh	2017	http://arxiv.org/abs/1711.04974	oai:oai:arXiv.org:1711.04974 oai:arXiv.org:1711.04974		Computer Science - Cryptography and Security					70%
Security-aware service composition for end users of small enterprises	This paper focuses on the service composition based on security properties of services from an end user perspective. End users are usually not expert in computer security, but expert users of computer software. They typically either own or work for small and medium enterprises (SMEs). The proposed framework attempts to demonstrate that end users of small enterprises can compose a service based application based on the security profiles of software services. The paper argues that the security concerns of various stakeholders of services should be specified differently. The paper envisions a framework with which end users could select services consistent with their preferred security features suitable for their businesses. With the same token, consumers of such applications can easily understand the security profile of services in order to make a B2B transaction. This will provide end users more power to force the service developer to offer better security-aware services. The main contribution of this paper is a framework on which further work could be initiated.Scopu	Khan, K. and Malluhi, Q.	2010	http://hdl.handle.net/10576/3935	10.3233/978-1-60750-629-4-257 oai:oai:qspace.qu.edu.qa:10576/3935 oai:qspace.qu.edu.qa:10576/3935 doi:10.3233/978-1-60750-629-4-257	IOS Press	abstraction of security, B2B transaction, end user level security, Service software, software composition		10.3233/978-1-60750-629-4-257		issn:0922-6389, 0922-6389	70%
Session-Based Software Recommendation with Social and Dependency Graph	Reusing mature software packages that have been developed repeatedly cangreatly enhance the efficiency and quality of software development. However,with the rapidly growing number of software packages, developers are facing thechallenge on technology choices. In this context, software recommendation playsa crucial role in software development. While conventional recommendationmodels can be applied to software recommendation, regrading to the uniquecharacteristics of software development, there still remains three challenges:1) developers' interests are gradually evolving, 2) developer are influenced bytheir friends, and 3) software packages are influenced by their dependency.Notably, the social influences are dynamic and the dependency influences areattentive. That is, developers may trust different sets of friends at differenttimes and different dependency exhibits different importance. In this paper, wepropose a novel software recommendation model, named as Session-based Socialand Dependence-aware Recommendation (SSDRec). It integrates recurrent neuralnetwork (RNN) and graph attention network (GAT) into a unified framework. Thismodel employs RNN on short session-based data to model developers' evolvinginterests. In addition, we extend GAT to Social-Dependency-GAT (SD-GAT) formodeling both dynamic social influences and attentive dependency influences.Extensive experiments are conducted on real-world datasets and the resultsdemonstrate the advantages of our model over state-of-the-art methods formodeling developers' evolving interests and the two influences	Yan, Dengcheng and Tang, Tianyi and Zhang, Yiwen	2021	http://arxiv.org/abs/2103.06109	oai:arXiv.org:2103.06109 oai:oai:arXiv.org:2103.06109		Computer Science - Information Retrieval, Computer Science - Software Engineering					70%
Security Services Using Crowdsourcing 	AbstractSecurity-as-a-service is an emerging area in cloud computing. Traditionally, security approaches are service provider-centric and provider-driven. In this paper, we propose a model for security-as-a-service using “crowdsourcing”. Though crowdsourcing has been used to provide specific security services like browser security, detecting phishing attacks, detecting cybersecurity threats, there has been no work which provides a unified framework to provide different types of security verification. Dispersed computing power of devices is used to perform security verifications. This is done by subscribers in a collaborative way, using their idle resources, in exchange of certain incentives. Our architecture guarantees anonymity of users who request service and the crowd who contribute in verification by using virtualization concepts and virtual machines. Moreover, we propose an approach for managing these security verification jobs, subscribers in a fault tolerant manner. To the best of our knowledge, we are the first to propose a unified security-as-a-service framework using crowdsourcing, thus introducing a new research problem. We discuss a number of applications, challenges and problems of crowdsourcing in security verification	Verma, Rohit and Ruj, Sushmita	2014	https://core.ac.uk/download/pdf/82655750.pdf	doi:10.1016/j.procs.2014.05.454 10.1016/j.procs.2014.05.454	The Authors. Published by Elsevier B.V.			10.1016/j.procs.2014.05.454			70%
ENHANCING INFRASTRUCTURE SECURITY IN REAL ESTATE	As a result of the increased dependency on obtaining information and connecting each computer together for ease of access/communication, organizations risk being attacked and losing private information through breaches or insecure business activities. To help protect organizations and their assets, companies need to develop a strong understanding of the risks imposed on their company and the security solutions designed to prevent/minimize vulnerabilities. To reduce the impact threats have on a network, organizations need to: design a defense layer system that provides multiple instances of protection to prevent unauthorized access to core information, implement a strong network hardware/intrusion prevention system, and create all-inclusive network/security policies that detail user rules and company rights. In order to enhance the overall security of a basic infrastructure, this paper will provide a detailed look into gathering the organizational requirements, designing and implementing a secure physical network layout, and selecting the standards needed to prevent unauthorized access	Kyle Dees and Syed (shawon Rahman and Ph. D	2012	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.210.9705	oai:CiteSeerX.psu:10.1.1.210.9705 oai:oai:CiteSeerX.psu:10.1.1.210.9705		Real Estate, Network Design, Network Security, Unauthorized Access					70%
Why Do Developers Get Password Storage Wrong? A Qualitative Usability  Study	Passwords are still a mainstay of various security systems, as well as thecause of many usability issues. For end-users, many of these issues have beenstudied extensively, highlighting problems and informing design decisions forbetter policies and motivating research into alternatives. However, end-usersare not the only ones who have usability problems with passwords! Developerswho are tasked with writing the code by which passwords are stored must do sosecurely. Yet history has shown that this complex task often fails due to humanerror with catastrophic results. While an end-user who selects a bad passwordcan have dire consequences, the consequences of a developer who forgets to hashand salt a password database can lead to far larger problems. In this paper wepresent a first qualitative usability study with 20 computer science studentsto discover how developers deal with password storage and to inform researchinto aiding developers in the creation of secure password systems	Naiakshina, Alena and Danilova, Anastasia and Tiefenau, Christian and Herzog, Marco and Dechand, Sergej and Smith, Matthew	2017	http://arxiv.org/abs/1708.08759	oai:arXiv.org:1708.08759 oai:oai:arXiv.org:1708.08759 10.1145/3133956.3134082 doi:10.1145/3133956.3134082		Computer Science - Cryptography and Security		10.1145/3133956.3134082			70%
GSM Security Using Identity-based Cryptography	Current security model in Global System for Mobile Communications (GSM)predominantly use symmetric key cryptography. The rapid advancement of Internettechnology facilitates online trading, banking, downloading, emailing usingresource-constrained handheld devices such as personal digital assistants andcell phones. However, these applications require more security than the presentGSM supports. Consequently, a careful design of GSM security using bothsymmetric and asymmetric key cryptography would make GSM security moreadaptable in security intensive applications. This paper presents a secure andefficient protocol for GSM security using identity based cryptography. Thesalient features of the proposed protocol are (i) authenticated key exchange;(ii) mutual authentication amongst communicating entities; and (iii) useranonymity. The security analysis of the protocol shows its strength againstsome known threats observed in conventional GSM security.Comment: 10 page	Agarwal, Animesh and Shrimali, Vaibhav and Das, Manik Lal	2009	http://arxiv.org/abs/0911.0727	oai:oai:arXiv.org:0911.0727 oai:arXiv.org:0911.0727		Computer Science - Cryptography and Security					70%
Crowds: Anonymity for web transactions	In this paper we introduce a system called Crowds for protecting users ’ anonymity on the worldwide-web. Crowds, named for the notion of “blending into a crowd”, operates by grouping users into a large and geographically diverse group (crowd) that collectively issues requests on behalf of its members. Web servers are unable to learn the true source of a request because it is equally likely to have originated from any member of the crowd, and even collaborating crowd members cannot distinguish the originator of a request from a member who is merely forwarding the request on behalf of another. We describe the design, implementation, security, performance, and scalability of our system. Our security analysis introduces degrees of anonymity as an important tool for describing and proving anonymity properties	Michael K. Reiter and Aviel D. Rubin	1998	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.65.4313	oai:CiteSeerX.psu:10.1.1.65.4313 oai:oai:CiteSeerX.psu:10.1.1.65.4313		Categories and Subject Descriptors, C.2.0 [Computer-Communication Networks, General— security and protection, C.2.2 [Computer-Communication Networks, Network Protocols— applications, K.4.1 [Computers and Society, Public Policy Issues—privacy, K.4.4 [Computers and Society, Electronic Commerce—security General Terms, Security Additional Key Words and Phrases, anonymous communication, world-wide-web					70%
Provable Anonymity Against Traffic Analysis ∗	With the advent of peer to peer networks, anonymity is grasped as a desired property of any well designed system for exchanging information between parties. Previous work dealing with anonymity and privacy is mostly application driven and intuitively based, paying more attention to implementation details than to rigorous security analysis. This work focuses on unlinkability, which is one of the possible types of anonymity. We study the unlinkability of an efficient variant of David Chaum’s classic protocol for anonymous data communication and we prove that it is secure against adaptive adversaries even having prior information. Prior to our work, most attempts to make a rigorous analysis were either inefficient or were based on ad-hoc assumptions. Our technique heavily relies on information theory. We use information theory both in formalizing the intuitive definitions and in proving the security properties of our protocol. 	Ron Berman and Amos Fiat and Amnon Ta-shma	2005	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.82.597	oai:oai:CiteSeerX.psu:10.1.1.82.597 oai:CiteSeerX.psu:10.1.1.82.597							69%
A SECURE PAYMENT SYSTEM  FOR BANKING TRANSACTIONS	Anonymity has received increasing attention within the literature attributable to the users’ awareness of their privacy these days. anonymity  provides protection for users to get pleasure from network services while not being copied. whereas  anonymity-related problems are extensively studied in payment-based systems like e-cash and peer-to-peer (P2P) systems, very little effort has been dedicated to wireless mesh networks (WMNs). On the opposite hand, the network authority needs conditional anonymity such misbehaving entities within the network stay traceable.Here, we have a tendency to propose a security design to make sure unconditional anonymity for honest users and traceability of misbehaving users for network authorities in WMNs. The projected design strives to resolve the conflicts between the anonymity and traceability objectives, additionally to guaranteeing basic security needs as well as authentication, confidentiality, information integrity, and non-repudiation. Thorough analysis on security and potency is incorporated, demonstrating the feasibleness and effectiveness of the projected design	M. Supriya	2017	https://creativecommons.org/licenses/by/4.0/	oai:zenodo.org:1012480 doi:10.5281/zenodo.1012479 10.5281/zenodo.1012479 oai:oai:zenodo.org:1012480		Wireless Mesh Network ,Ticket.		10.5281/zenodo.1012479			69%
Generation of role based access control security policies for Java collaborative applications	International audienceJava collaborative applications are increasingly and widely used in the form of applets or servlets, as a way to easily download and execute small programs on one's computer. However, security associated with these downloaded applications, even if it exists, is not easily manageable. Most of the time, it relies on the user's ability to define a security policy for his virtual machine, which is undesirable. This paper proposes to integrate an RBAC mechanism for any Java application. It introduces a simple tag process that allows the developer to incorporate the appropriate policy in the source code of his application. The user is endowed with the ability to choose a role that corresponds to the required level of trust required in order for him to embed the policy in the executed code. A case study of a collaborative application shows how works the proposed API for managing roles, generating policies and logging in. At the end, a discussion about the dynamic enforcement of the generated policies is presented	Briffaut, Jérémy and Kauffmann-Tourkestansky, Xavier and Lalande, Jean-François and Smari, Waleed,	2009	https://hal.archives-ouvertes.fr/hal-00451800	oai:oai:HAL:hal-00451800v1 oai:HAL:hal-00451800v1 doi:10.1109/SECURWARE.2009.41 10.1109/SECURWARE.2009.41	IEEE Computer Society	RBAC, collaborative applications, java, [INFO.INFO-CR] Computer Science [cs]/Cryptography and Security [cs.CR]		10.1109/SECURWARE.2009.41			69%
State-of-the-art in privacy preserved k-anonymity revisited	The  prevalent  conditions  in  data  sharing  and  mining   have  necessitated  the  release  and  revelation  of  certain  vulnerable  private  information.  Thus  the  preservation  of  privacy  has  become  an  eminent  field  o f  study  in  data  security.  In  addressing  this  issue,  K  anonymity  is  amongst  the  most  reliable  and  valid  algorithms  used  for  privacy preservation in data mining. It is ubiquitously used in myriads of fields in recent years for  its characteristic  effective prevention ability towards the loss of vulnerable information under linking attacks. This study presents the  basic notions and deep insight of the existing privacy preserved  K  anonymity model and its possible enhancement.  Furthermore, the present challenges, excitements an d future progression of privacy preservation in  K  anonymity are  emphasized. Moreover, this study is grounded on the  fundamental ideas and concepts of the existing  K  anonymity  privacy  preservation,  K  anonymity  model  and  enhanced  the  K  anonymity  model.  Finally,  it  extracted  the  developmental direction of privacy preservation in  K  anonymity	Alsahib S. Aldeen, Yousra Abdul and Salleh, Mazleena	2016	http://dx.doi.org/10.19026/rjaset.12.2753	oai:oai:generic.eprints.org:68446/core392 oai:generic.eprints.org:68446/core392	Medwell Journals	QA75 Electronic computers. Computer science					69%
Seminar Future Internet SS2013	Microdata is the basis of statistical studies. If microdata is released, it can leak sensitive information about the partici-pants, even if identifiers like name or social security number are removed. A proper anonymization for statistical mi-crodata is essential. K-anonymity has been intensively dis-cussed as a measure for anonymity in statistical data. Quasi identifiers are attributes that might be used to identify sin-gle participating entities in a study. Linking different tables can leak sensitive information. Therefore k-anonymity re-quires that each combination of values for the quasi iden-tifiers appears at least k times in the data. When subse-quent data is released certain limitations have to be fol-lowed for the complete data to adhere to k-anonymity. In this paper, we depict the anonymity level of k-anonymity. We show, how l-diversity and t-closeness provide a stronger level of anonymity as k-anonymity. As microdata has to be anonymized, free toolboxes are available in the inter-net to provide k-anonymity, l-diversity and t-closeness. We present the Cornell Anonymization Toolkit and the UTD Anonymization Toolbox. Together with Kern, we analyzed geodata gathered from android devices due to its anonymity level. Therefore, we transferred the data into an sqlite database for easier data manipulation. We used SQL-queries to show how this data is not anonymous. We provide a value generalization hierarchy based on the attributes model, de-vice, version and network. Using the UTD Anonymization Toolbox, we transferred the data into a k-anonymous state. For different values of k there are different possibilities of generalizations. We show parts of a 3-anonymous version of the input data in this paper	Janosch Maier and Betreuer Ralph Holz and Lehrstuhl Netzarchitekturen Und Netzdienste and Fakultät Für Informatik and Technische Universität München	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.637.1521	oai:CiteSeerX.psu:10.1.1.637.1521 oai:oai:CiteSeerX.psu:10.1.1.637.1521							69%
A DSL Framework for Policy-Based Security of Distributed Systems	International audienceSecuring distributed systems remains a significant challenge for several reasons. First, the security features required in an application may depend on the environment in which the application is operating, the type of data exchanged, and the capability of the end-points of communication. Second, the security mechanisms deployed could apply to both communication and application layers in the system, making it difficult to understand and manage overall system security. This paper presents a policy-based approach to meeting these needs. We propose a framework based on a Domain-Specific Language for the specification, verification and implementation of security policies for distributed systems. Based on a set of abstractions, this framework allows to develop modular security policies and independent of the underlying system. Thus, security policies can be developed by a developer who is not necessarily computer security expert	Hamdi, Hédi and Mosbah, Mohamed	2009	https://hal.archives-ouvertes.fr/hal-00579194	oai:oai:HAL:hal-00579194v1 doi:10.1109/SSIRI.2009.7 10.1109/SSIRI.2009.7 oai:HAL:hal-00579194v1	IEEE Computer Society	DSL, Security policy, compilation, specification, verification, implementation, [INFO.INFO-DC] Computer Science [cs]/Distributed, Parallel, and Cluster Computing [cs.DC], [INFO.INFO-PL] Computer Science [cs]/Programming Languages [cs.PL], [INFO.INFO-SE] Computer Science [cs]/Software Engineering [cs.SE]		10.1109/SSIRI.2009.7			69%
Location-dependent services for mobile users	Abstract—One of the main issues in mobile services ’ research (M-service) is supporting M-service availability, regardless of the user’s context (physical location, device employed, etc.). However, most scenarios also require the enforcement of context-awareness, to dynamically adapt M-services depending on the context in which they are requested. In this paper, we focus on the problem of adapting M-services depending on the users ’ location, whether physical (in space) or logical (within a specific distributed group/application). To this end, we propose a framework to model users ’ location via a multiplicity of local and active service contexts. First, service contexts represent the mean to access to M-services available within a physical locality. This leads to an intrinsic dependency of M-service on the users’ physical location. Second, the execution of service contexts can be tuned depending on who is requesting what M-service. This enables adapting M-services to the logical location of users (e.g., a request can lead to different executions for users belonging to different groups/applications). The paper firstly describes the framework in general terms, showing how it can facilitate the design of distributed applications involving mobile users as well as mobile agents. Then, it shows how the MARS coordination middleware, implementing service contexts in terms of programmable tuple spaces, can be used to develop and deploy applications and M-services coherently with the above framework. A case study is introduced and discussed through the paper to clarify our approach and to show its effectiveness. Index Terms—Context-awareness, coordination infrastructures, M-services, mobility, multiagent systems. I	Giacomo Cabri and Letizia Leonardi and Marco Mamei and Franco Zambonelli	2003	https://core.ac.uk/download/pdf/22876842.pdf	oai:oai:CiteSeerX.psu:10.1.1.324.1622 oai:CiteSeerX.psu:10.1.1.324.1622							69%
Exploring dependency for query privacy protection in location-based services	Location-based services have been enduring a fast development for almost fifteen years. Due to the lack of proper privacy protec-tion, especially in the early stage of the development, an enormous amount of user request records have been collected. This exposes potential threats to users ’ privacy as new contextual information can be extracted from such records. In this paper, we study query dependency which can be derived from users ’ request history, and investigate its impact on users ’ query privacy. To achieve our goal, we present an approach to compute the probability for a user to issue a query, by taking into account both user’s query dependency and observed requests. We propose new metrics incorporating query dependency for query privacy, and adapt spatial generalisation algorithms in the literature to generate re-quests satisfying users ’ privacy requirements expressed in the new metrics. Through experiments, we evaluate the impact of query de-pendency on query privacy and show that our proposed metrics and algorithms are effective and efficient for practical applications	Xihui Chen and Jun Pang	2013	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.721.7679	oai:CiteSeerX.psu:10.1.1.721.7679 oai:oai:CiteSeerX.psu:10.1.1.721.7679	ACM Press	metrics, generalisation					69%
Exploring dependency for query privacy protection in location-based services	Location-based services have been enduring a fast development for almost fifteen years. Due to the lack of proper privacy protec-tion, especially in the early stage of the development, an enormous amount of user request records have been collected. This exposes potential threats to users ’ privacy as new contextual information can be extracted from such records. In this paper, we study query dependency which can be derived from users ’ request history, and investigate its impact on users ’ query privacy. To achieve our goal, we present an approach to compute the probability for a user to issue a query, by taking into account both user’s query dependency and observed requests. We propose new metrics incorporating query dependency for query privacy, and adapt spatial generalisation algorithms in the literature to generate re-quests satisfying users ’ privacy requirements expressed in the new metrics. Through experiments, we evaluate the impact of query de-pendency on query privacy and show that our proposed metrics and algorithms are effective and efficient for practical applications	Xihui Chen and Jun Pang	2013	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.709.1655	oai:CiteSeerX.psu:10.1.1.709.1655 oai:oai:CiteSeerX.psu:10.1.1.709.1655	ACM Press	Categories and Subject Descriptors C.2.0 [Computer-Communication Networks, General—Secu- rity and protection, K.4.1 [Computers and Society, Public Policy Issues—Privacy Keywords Location based services, dependency, query privacy, anonymity, metrics, generalisation					69%
A Model for Web developer to overcome the Cross Platform Dependency in Mobile Technologies	Most web developers has problem in building native mobile applications, requiring varied knowledge, skills and forced to change their platform. The technology is growing rapidly and fast enough, for web developers, to keep them up to date with it. Cross-Platform apps for mobile are also in use but they don’t target web developers. The core objective of this research is to design a Transition Model that will help web developers in deploying mobile applications with their native coding conventions like: HTML, CSS and JavaScript/jQuery. A Web developer, who needs to create cross-platform applications for multiple mobile, can use this Model to build. The Model is open source and described in detail for future research as well	Rehana Sharif, Sonia Gull, Mohsin Nazir	2013	https://core.ac.uk/display/27491391	oai:doaj.org/article:da2de346d9464b5fb7ef07a627f24a0c oai:oai:doaj.org/article:da2de346d9464b5fb7ef07a627f24a0c	Shri Pannalal Research Institute of Technolgy	Open Source Model (OSM), jQuery Innovation, Cloud Computing, Cross-platform Dependence				issn:2277-9043, url:http://doaj.org/search?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22id%22%3A%22da2de346d9464b5fb7ef07a627f24a0c%22%7D%7D%5D%7D%7D%7D, issn:2277-971X, 2277-971x, 2277-9043	69%
